Apellidos,Nombres,Numero de Pasaporte,Nacionalidad,Fecha de Nacimiento,Sexo,Fecha de Expiracion
MACATINSKY,ALBERTO MARIO,04981576,ARG,04/05/48,MASCULINO,03/22,
RICE,MICHAEL RONALD,43127612,u5A,10/05/51,MASCULINO,09/17,
EKRTIN,SARAH,ZE000509,CAN,01/01/85,FEMENINO,01/23,
LENGKAP,NAMA,X000000<,IDN,17/08/45,INDEFINIDO,01/16,
UK SPECIMEN,ANGELA ZOE,92507647,GBR,11/09/88,FEMENINO,07/20,
DOPPLER,JOHANNES,P5941118,AUT,28/12/85,MASCULINO,10/21,






























































































