Apellidos,Nombres,Numero de Pasaporte,Nacionalidad,Fecha de Nacimiento,Sexo,Fecha de Expiracion
RICE,MICHAEL RONALD,43127612,u5A,10/05/51,MASCULINO,09/17,
RICE,MICHAEL RONALD,43127612,u5A,10/05/51,MASCULINO,09/17,
UK SPECIMEN,ANGELA ZOE,92507647,GBR,11/09/88,FEMENINO,07/20,
DOPPLER,JOHANNES,P5941118,AUT,28/12/85,MASCULINO,10/21,
































































































